"first_name","last_name","department"
"Maria","Santos","Sales"
"Juan","Dela Cruz","IT"
"Ana","Reyes","Marketing"
"Carlos","Garcia","Sales"
"Sofia","Mendoza","HR"
"Miguel","Torres","IT"
"Isabella","Cruz","Finance"
"Rafael","Aquino","Sales"
"Patricia","Lim","Marketing"
"Daniel","Tan","IT"
"Angela","Rivera","HR"
"Roberto","Flores","Finance"
"Christine","Go","Sales"
"Marco","Villanueva","IT"
"Joy","Bautista","Marketing"
"Kenneth","Sy","Finance"
"Grace","Domingo","HR"
"Leo","Pascual","IT"
"Nicole","Ramos","Sales"
"Patrick","Ong","Finance"
